Score: 140 | Energy: 24.37
Score: 140 | Energy: 14.05
Score: 130 | Energy: 13.82
Score: 140 | Energy: 15.66
Score: 180 | Energy: 13.40
Score: 130 | Energy: 5.70
Score: 90 | Energy: 6.31
Score: 150 | Energy: 7.71
Score: 160 | Energy: 7.58
Score: 130 | Energy: 7.73
Score: 120 | Energy: 26.79
Score: 130 | Energy: 11.44
Score: 120 | Energy: 16.73
Score: 150 | Energy: 20.65
Score: 190 | Energy: 37.29
Score: 250 | Energy: 13.89
Score: 130 | Energy: 3.38
Score: 180 | Energy: 4.80
Score: 150 | Energy: nan
Score: 120 | Energy: nan
Score: 150 | Energy: nan
Score: 140 | Energy: nan
Score: 130 | Energy: nan
Score: 110 | Energy: nan
Score: 100 | Energy: nan
Score: 80 | Energy: nan
Score: 100 | Energy: 18.67
Score: 120 | Energy: 22.12
Score: 130 | Energy: 12.70
Score: 110 | Energy: 11.71
Score: 200 | Energy: 11.87
Score: 140 | Energy: 12.22
Score: 110 | Energy: 5.63
Score: 120 | Energy: 8.44
Score: 140 | Energy: 9.93
Score: 110 | Energy: 12.61
Score: 140 | Energy: 13.29
Score: 100 | Energy: 5.54
Score: 100 | Energy: 4.91
Score: 150 | Energy: 3.72
Score: 160 | Energy: 10.46
Score: 250 | Energy: 7.73
Score: 280 | Energy: 12.39
Score: 130 | Energy: 6.82
Score: 100 | Energy: 6.85
Score: 130 | Energy: 6.96
Score: 130 | Energy: 3.15
Score: 100 | Energy: 5.38
Score: 100 | Energy: 5.72
Score: 170 | Energy: 16.30
Score: 150 | Energy: 10.79
Score: 100 | Energy: 9.87
Score: 140 | Energy: 5.05
Score: 120 | Energy: 10.75
Score: 280 | Energy: 7.12
Score: 120 | Energy: 6.25
Score: 110 | Energy: 8.68
Score: 120 | Energy: 4.57
Score: 240 | Energy: 2.87
Score: 130 | Energy: 3.96
Score: 110 | Energy: 9.10
Score: 80 | Energy: 6.57
Score: 270 | Energy: 5.35
Score: 120 | Energy: 3.97
Score: 120 | Energy: 9.70
Score: 110 | Energy: 6.89
Score: 110 | Energy: 3.68
Score: 250 | Energy: 7.25
Score: 140 | Energy: 8.87
Score: 170 | Energy: 5.98
Score: 100 | Energy: 5.93
Score: 90 | Energy: 5.60
Score: 110 | Energy: 6.18
Score: 120 | Energy: 4.84
Score: 130 | Energy: 6.23
Score: 150 | Energy: 6.43
Score: 90 | Energy: 2.67
Score: 120 | Energy: 5.28
Score: 150 | Energy: 5.54
Score: 120 | Energy: 6.73
Score: 120 | Energy: 4.36
Score: 100 | Energy: 5.47
Score: 160 | Energy: 7.37
Score: 130 | Energy: 4.83
Score: 110 | Energy: 2.84
Score: 150 | Energy: 4.26
Score: 90 | Energy: 3.29
Score: 150 | Energy: 2.70
Score: 140 | Energy: 4.33
Score: 140 | Energy: 6.52
Score: 130 | Energy: 4.84
Score: 150 | Energy: 11.42
Score: 120 | Energy: 4.83
Score: 130 | Energy: 2.80
Score: 100 | Energy: 3.27
Score: 140 | Energy: 2.66
Score: 90 | Energy: 2.67
Score: 120 | Energy: 7.20
Score: 110 | Energy: 7.00
Score: 120 | Energy: 7.84
Score: 140 | Energy: 13.82
Score: 100 | Energy: 10.69
Score: 90 | Energy: 6.98
Score: 100 | Energy: 5.12
Score: 140 | Energy: 10.05
Score: 140 | Energy: 9.66
Score: 90 | Energy: 6.15
Score: 140 | Energy: 8.04
Score: 120 | Energy: 5.88
Score: 130 | Energy: 6.67
Score: 150 | Energy: 6.78
Score: 230 | Energy: 2.05
Score: 140 | Energy: 7.80
Score: 140 | Energy: 7.22
Score: 110 | Energy: 6.28
Score: 110 | Energy: 14.74
Score: 130 | Energy: 5.12
Score: 130 | Energy: 15.83
Score: 120 | Energy: 7.74
Score: 150 | Energy: 8.91
Score: 140 | Energy: 3.92
Score: 130 | Energy: 12.49
Score: 230 | Energy: 7.41
Score: 100 | Energy: 9.28
Score: 230 | Energy: 11.12
Score: 140 | Energy: 11.49
Score: 230 | Energy: 11.23
Score: 350 | Energy: 13.52
